n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed,problem,qoi,sampler,seed,n
2000,0.27876189113582006,1159,0.27876189113582006,1159,0.006681560262672152,0.006681560262672152,0.00040532862158147,0.020132774810777326,0.595095571846145,0.8101597187519137,1.0525002852777328,7672.05478364551,False,Heat-AMICon,q,Random,6,5
2000,0.16737533042293237,1159,0.16737533042293237,1159,0.006935160418309934,0.006935160418309934,0.00019517202577515224,0.013970398196728405,0.6840589015501509,0.5621805230670401,0.7109709432312434,3811279.8485402423,False,Heat-AMICon,q,Random,6,10
2000,0.21182359430179784,1159,0.21182359430179784,1159,0.004667479978093031,0.004667479978093031,0.00017668863693344795,0.013292427804334615,0.7856038172623893,0.5348984267049506,0.1801173528334133,9839708848954.135,False,Heat-AMICon,q,Random,6,15
2000,0.10268155777627394,1,0.10268155777627394,1,0.0038541623747920866,0.0038541623747920866,0.00013200005199990705,0.011489127556081316,0.8436240155131514,0.4623321145258624,0.5843414133735175,673677587110.4563,False,Heat-AMICon,q,Random,6,20
2000,0.19226457291274124,1848,0.19226457291274124,1848,0.0038993059956932436,0.0038993059956932436,0.00014045163517304905,0.011851229268436632,0.7846317469863121,0.4769033906762483,0.7109709432312434,34509169824627.62,False,Heat-AMICon,q,Random,6,30
2000,0.24146593568470248,1848,0.24146593568470248,1848,0.005586357189224959,0.005586357189224959,0.0002990508833204268,0.017293087732398366,0.5788439022720261,0.6958883325974626,1.5580901878706048,50268903731240.2,False,Heat-AMICon,q,Random,6,40
2000,0.25159747270140065,1848,0.25159747270140065,1848,0.004397644683074437,0.004397644683074437,0.0002893285926612984,0.01700966174447036,0.5584061610645712,0.684483033485697,1.8957356524063753,505598169842808.25,False,Heat-AMICon,q,Random,6,60
2000,0.12049176253382932,1159,0.12049176253382932,1159,0.0017394645299252756,0.0017394645299252756,4.908241844861509e-05,0.007005884558613215,0.9423924826215995,0.28192266177715775,0.5843414133735175,2.0088268148019114e+19,False,Heat-AMICon,q,Random,6,80
2000,0.11548879607215926,1159,0.11548879607215926,1159,0.001105655718370227,0.001105655718370227,3.1828402096365496e-05,0.005641666606275622,0.9585102079169306,0.22702538889898052,1.8957356524063753,7.269851900890998e+16,False,Heat-AMICon,q,Random,6,100
2000,0.26473196141071414,1848,0.26473196141071414,1848,0.002370997229914426,0.002370997229914426,0.00020956211896675807,0.014476260531185465,0.6947775540091725,0.5825368470443754,2.3065504755640527,1.7714334003482552e+19,False,Heat-AMICon,q,Random,6,120
2000,0.3021815352921451,1159,0.3021815352921451,1159,0.01180917396210017,0.01180917396210017,0.0006322201566158306,0.025143988478676778,0.03541838326554981,1.011815153432376,9.104566225437187,1.014680452168783,False,Heat-AMICon,q,Random,7,5
