n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,surrogate,sampler,problem,qoi,n,seed,fit_time_s,failed
500,0.12433860412460657,406,357.66677378783106,467,70.51084505057239,0.0248800908951336,9003.23145346165,94.88535953170884,0.9836726439005271,0.12812209157616813,RBF,LHS,rd_2d,J,20,5,0.003132226993329823,False
500,0.07247989510831436,56,241.4919376772932,467,36.11473481923954,0.012609906641853342,2731.2898014522098,52.26174319186272,0.9953692154253124,0.07056814539360398,Kriging,LHS,rd_2d,J,20,5,0.4613981559959939,False
500,0.09189544932849865,467,324.996709635097,467,63.30253755016531,0.022863195230287153,6694.0460541705725,81.81715012251755,0.9888667298160918,0.11047631006757383,RBF,LHS,rd_2d,J,20,6,0.003334795997943729,False
500,0.073213823159772,13,239.73225908516997,201,30.634461944751326,0.010490134346848912,2392.105844754251,48.909159109048794,0.996714248712318,0.06604120797148728,Kriging,LHS,rd_2d,J,20,6,0.798647465009708,False
500,0.07828475425349947,467,276.8612345104375,467,54.79590173468425,0.019877829727260148,5064.8617578897365,71.16784216125804,0.9909513887929932,0.09609673015588738,RBF,LHS,rd_2d,J,20,7,0.0032779629982542247,False
500,0.07772286588283361,13,269.5869529598658,467,32.41706877557798,0.011577029534523654,2631.131893167938,51.29456007383179,0.9955447909166737,0.06926217443421828,Kriging,LHS,rd_2d,J,20,7,0.5511389269959182,False
500,0.09285499705788061,5,333.98168504667683,134,61.19223819089354,0.022784105715646128,6297.327623741516,79.35570315825773,0.9888770425508395,0.10715265998160468,RBF,LHS,rd_2d,J,20,8,0.0033685200032778084,False
500,0.0907321111540872,406,248.61529169428832,1,33.65938960590778,0.012150059511169691,2199.9508084790828,46.90363321192808,0.9961142908567754,0.06333318036936382,Kriging,LHS,rd_2d,J,20,8,0.9746997089969227,False
500,0.06735942480646234,467,238.222801944818,467,54.59693171185969,0.020152781851097354,4685.876732727751,68.45346399363403,0.9915731623164967,0.0924315513561121,RBF,LHS,rd_2d,J,20,9,0.0034147359983762726,False
500,0.06525787797929482,265,261.3309040361455,1,37.845590142054625,0.013304978836601894,2876.972781503224,53.63741960146129,0.9954479386793881,0.07242569791592815,Kriging,LHS,rd_2d,J,20,9,0.6619887709966861,False
500,0.06597259474041396,5,245.88666879707307,134,52.623538335026545,0.01945068564028542,4396.0117819880115,66.30242666741552,0.9920497370626981,0.08952704213937224,RBF,LHS,rd_2d,J,30,0,0.004207411999232136,False
500,0.0448581986113047,460,209.17551244630158,460,20.249464170306723,0.006951859691951968,1035.7305103504043,32.18276728857238,0.9982979559154989,0.04345584480125244,Kriging,LHS,rd_2d,J,30,0,0.6426850150019163,False
500,0.051860168722625145,284,194.42793117585097,134,50.578005776773814,0.018611308318651397,3930.495056621072,62.69366041810824,0.9928711227182937,0.08465418628307736,RBF,LHS,rd_2d,J,30,1,0.004069249000167474,False
500,0.02424298104241766,13,133.82826318781918,1,14.281572199872372,0.004865525899636567,496.15658631951527,22.274572640558453,0.9991991295192983,0.030076977626036536,Kriging,LHS,rd_2d,J,30,1,0.7909968619933352,False
