qoi,sampler,n,median,q25,q75
J2,EIGF,5,0.1722541088257061,0.1722541088257061,0.1722541088257061
J2,EIGF,10,0.2607130248922932,0.2607130248922932,0.2607130248922932
J2,EIGF,15,0.1461169084164956,0.1461169084164956,0.1461169084164956
J2,EIGF,20,0.1063662406002179,0.1063662406002179,0.1063662406002179
J2,EIGF,25,0.0998593893284041,0.0998593893284041,0.0998593893284041
J2,EIGF,30,0.0978445005139672,0.0978445005139672,0.0978445005139672
J2,EIGF,35,0.0974801630748077,0.0974801630748077,0.0974801630748077
J2,EIGF,40,0.097058593706156,0.097058593706156,0.097058593706156
J2,EIGF,45,0.0964983737070494,0.0964983737070494,0.0964983737070494
J2,EIGF,50,0.0969603448668382,0.0969603448668382,0.0969603448668382
J2,EIGF,55,0.0980239027248916,0.0980239027248916,0.0980239027248916
J2,EIGF,60,0.0976932612523436,0.0976932612523436,0.0976932612523436
J2,Halton,5,0.4402583406105013,0.4402583406105013,0.4402583406105013
J2,Halton,10,0.3076883635165861,0.3076883635165861,0.3076883635165861
J2,Halton,15,0.2199975452855997,0.2199975452855997,0.2199975452855997
J2,Halton,20,0.1949364326866676,0.1949364326866676,0.1949364326866676
J2,Halton,25,0.1822557467467849,0.1822557467467849,0.1822557467467849
J2,Halton,30,0.1326305176083574,0.1326305176083574,0.1326305176083574
J2,Halton,35,0.1266714571860053,0.1266714571860053,0.1266714571860053
J2,Halton,40,0.1280563404125928,0.1280563404125928,0.1280563404125928
J2,Halton,45,0.1244227177586459,0.1244227177586459,0.1244227177586459
J2,Halton,50,0.1200425954758703,0.1200425954758703,0.1200425954758703
J2,Halton,55,0.1109395518578092,0.1109395518578092,0.1109395518578092
J2,Halton,60,0.1095332478355905,0.1095332478355905,0.1095332478355905
J2,LHS,5,0.1732517537994992,0.1732517537994992,0.1732517537994992
J2,LHS,10,0.4107671559596031,0.4107671559596031,0.4107671559596031
J2,LHS,15,0.135791640601645,0.135791640601645,0.135791640601645
J2,LHS,20,0.1247282126604644,0.1247282126604644,0.1247282126604644
J2,LHS,25,0.1175422558916218,0.1175422558916218,0.1175422558916218
J2,LHS,30,0.1028605973050551,0.1028605973050551,0.1028605973050551
J2,LHS,35,0.110601026657734,0.110601026657734,0.110601026657734
J2,LHS,40,0.1151135368545618,0.1151135368545618,0.1151135368545618
J2,LHS,45,0.1046333287544351,0.1046333287544351,0.1046333287544351
J2,LHS,50,0.1008880429874725,0.1008880429874725,0.1008880429874725
J2,LHS,55,0.1043523109538543,0.1043523109538543,0.1043523109538543
J2,LHS,60,0.1015455341612681,0.1015455341612681,0.1015455341612681
J2,MEPE,5,0.1722541088257061,0.1722541088257061,0.1722541088257061
J2,MEPE,10,0.1452716602032403,0.1452716602032403,0.1452716602032403
J2,MEPE,15,0.1270008785415885,0.1270008785415885,0.1270008785415885
J2,MEPE,20,0.114847536075767,0.114847536075767,0.114847536075767
J2,MEPE,25,0.1132163241789447,0.1132163241789447,0.1132163241789447
J2,MEPE,30,0.1122480398971678,0.1122480398971678,0.1122480398971678
J2,MEPE,35,0.1096131208222452,0.1096131208222452,0.1096131208222452
J2,MEPE,40,0.0989258578538874,0.0989258578538874,0.0989258578538874
J2,MEPE,45,0.0987452377567713,0.0987452377567713,0.0987452377567713
J2,MEPE,50,0.0998612153435817,0.0998612153435817,0.0998612153435817
J2,MEPE,55,0.0754048465429196,0.0754048465429196,0.0754048465429196
J2,MEPE,60,0.0995286915895127,0.0995286915895127,0.0995286915895127
J2,P-greedy,5,0.1722541088257061,0.1722541088257061,0.1722541088257061
J2,P-greedy,10,0.1408284568666469,0.1408284568666469,0.1408284568666469
J2,P-greedy,15,0.1059968723768359,0.1059968723768359,0.1059968723768359
J2,P-greedy,20,0.0984377876054068,0.0984377876054068,0.0984377876054068
J2,P-greedy,25,0.0998930561295145,0.0998930561295145,0.0998930561295145
J2,P-greedy,30,0.0995357527896187,0.0995357527896187,0.0995357527896187
J2,P-greedy,35,0.0989046271616148,0.0989046271616148,0.0989046271616148
J2,P-greedy,40,0.0996738497258386,0.0996738497258386,0.0996738497258386
J2,P-greedy,45,0.1009566394065487,0.1009566394065487,0.1009566394065487
J2,P-greedy,50,0.1020653172066382,0.1020653172066382,0.1020653172066382
J2,P-greedy,55,0.0991875994367265,0.0991875994367265,0.0991875994367265
J2,P-greedy,60,0.0992497153572564,0.0992497153572564,0.0992497153572564
J2,Random,5,0.2310407803487244,0.2310407803487244,0.2310407803487244
J2,Random,10,0.2766762260250394,0.2766762260250394,0.2766762260250394
J2,Random,15,0.4178780197349522,0.4178780197349522,0.4178780197349522
J2,Random,20,0.1477337259313177,0.1477337259313177,0.1477337259313177
J2,Random,25,0.2818097927193633,0.2818097927193633,0.2818097927193633
J2,Random,30,0.1237864793297004,0.1237864793297004,0.1237864793297004
J2,Random,35,0.3110138671626234,0.3110138671626234,0.3110138671626234
J2,Random,40,0.1211862464513894,0.1211862464513894,0.1211862464513894
J2,Random,45,0.1298574736044688,0.1298574736044688,0.1298574736044688
J2,Random,50,0.1419376970192244,0.1419376970192244,0.1419376970192244
J2,Random,55,0.1434483381332211,0.1434483381332211,0.1434483381332211
J2,Random,60,0.1093304988070106,0.1093304988070106,0.1093304988070106
J2,f-greedy,5,0.1722541088257061,0.1722541088257061,0.1722541088257061
