n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed,problem,qoi,sampler,seed,n
2000,0.21616323797359324,1159,0.4542314474420772,1159,0.0020899051907080444,0.0018266210607288892,0.00023892543946219056,0.015457213185506325,0.9870749677150646,0.11424110387790676,1.0525002852777328,4807404993600045.0,False,AdvDiff-AMICon,q,Random,3,40
2000,0.3166931253646402,1159,0.6654784508127551,1159,0.0019740889500986596,0.0015833306362626042,0.0004397064670217312,0.02096917897824641,0.9787825664430203,0.15497891664808508,1.8957356524063753,148472243090372.53,False,AdvDiff-AMICon,q,Random,3,60
2000,0.37234724145817644,1159,0.7824264108186307,1159,0.0022773162467847694,0.0017955269827922846,0.0006266486613020858,0.02503295151000149,0.970886868656939,0.18501342897348452,2.3065504755640527,97111463828115.77,False,AdvDiff-AMICon,q,Random,3,80
2000,0.2860980858762251,201,0.3890717160903874,1848,0.0021841264018589053,0.0020146569703823987,0.0003069560530779187,0.01752016133138958,0.9873113910013439,0.1294879320480433,1.2805820423628653,2.7081908742275753e+18,False,AdvDiff-AMICon,q,Random,3,100
2000,0.16489129280541515,201,0.2571934303426069,1159,0.0013053397991161625,0.0011514034205023307,0.00012611312908476213,0.011230010199673112,0.9934239156123702,0.08299871046442994,1.8957356524063753,9.677367062021696e+17,False,AdvDiff-AMICon,q,Random,3,120
2000,0.842731168239224,1159,1.7708607714352342,1159,0.026454502206425326,0.02486463373241918,0.010309626112253664,0.10153632902687423,0.5726970469228041,0.7504342582670082,0.1,45060867.01472165,False,AdvDiff-AMICon,q,Random,4,5
2000,0.8721058660810896,1159,1.8325868616065624,1159,0.02442335066540783,0.022767636876626075,0.0116554547994277,0.10796043163783525,0.5818292807140656,0.797913487859913,0.5843414133735175,70531714.58509757,False,AdvDiff-AMICon,q,Random,4,10
2000,0.6581796192247117,1159,1.383056082615852,1159,0.009601717984634233,0.008440058761662912,0.004067581888939522,0.06377759707718315,0.8517956693065991,0.4713671866549402,0.2666403838939712,4765837170266.039,False,AdvDiff-AMICon,q,Random,4,15
2000,0.6068872448470047,1159,1.275273604546325,1159,0.007604375192129637,0.006555475097732943,0.0031324914356497062,0.05596866476564995,0.8819664446672477,0.41365296374353605,0.7109709432312434,90406785816.79718,False,AdvDiff-AMICon,q,Random,4,20
2000,0.8174390271280703,1159,1.7177135019294356,1159,0.013734665811593433,0.012224217728563488,0.007961257690081592,0.08922588015862658,0.6896428323682733,0.659450246397402,1.8957356524063753,210564099.4818686,False,AdvDiff-AMICon,q,Random,4,30
2000,0.568987503249271,1159,1.1956335388024806,1159,0.005375507219176463,0.004421542596876335,0.002475747793130414,0.049756886891468746,0.916321714461655,0.3677429828903107,1.2805820423628653,3881056151518.365,False,AdvDiff-AMICon,q,Random,4,40
2000,0.31447574321218813,1159,0.6608189873716885,1159,0.0019401214974964596,0.0015216784661641473,0.0004455537813900529,0.021108144906411195,0.9817646928907452,0.1560059854246126,1.8957356524063753,13102877948689.0,False,AdvDiff-AMICon,q,Random,4,60
2000,0.26421484701699405,1159,0.5552039908417608,1159,0.0015535576227006269,0.001212200305620409,0.00030570821376582977,0.017484513541011937,0.987021269336893,0.1292244665142064,1.5580901878706048,1.774705705567263e+17,False,AdvDiff-AMICon,q,Random,4,80
2000,0.14175415737567368,1159,0.29787301804551114,1159,0.00128534490979139,0.0011143197749076774,0.00011960244769182377,0.010936290399025795,0.9935054616681943,0.08082788744128555,1.8957356524063753,2.227054887257061e+17,False,AdvDiff-AMICon,q,Random,4,100
