problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
AdvDiff-AMICon,q,LHS,0,80,81,0.741712075198877,0,6.178461586406671,0,0.07746071596327132,0.010340351627372648,0.47131391311698256,0.6865230608777702,0.8732278081552396,0.753491821898764,1.2805820423628653,2.2575423226886305e+18,False
AdvDiff-AMICon,q,LHS,0,85,81,0.6198295414861267,0,5.1631800805794565,0,0.06732028477056953,0.011229537374355582,0.3295108385064972,0.5740303463289177,0.9409907376258276,0.63002569924969,1.0525002852777328,2.482751272148965e+18,False
AdvDiff-AMICon,q,LHS,0,90,81,0.7091070827300126,0,5.906861999141029,0,0.0763304532256369,0.012160639442784851,0.43109151410730046,0.6565755966431439,0.890347473334726,0.7206230507338953,0.5843414133735175,4.5020762681466476e+18,False
AdvDiff-AMICon,q,LHS,0,95,81,0.710307574413885,0,5.916862094867686,0,0.07416880186001334,0.009890350990213317,0.43225646169488885,0.6574621370808276,0.9038552864140266,0.7215960711721645,1.5580901878706048,2.868072440552846e+17,False
AdvDiff-AMICon,q,LHS,0,100,81,0.5833444051976574,0,4.859258895296506,0,0.06165128571059367,0.008862217931595535,0.29161102640682945,0.5400102095394396,0.9636960087373463,0.5926869755978228,1.8957356524063753,1.833888243737675e+16,False
AdvDiff-AMICon,q,LHS,0,105,81,0.7285862062196573,0,6.06912309780977,0,0.07586533517840148,0.009932780961239621,0.4547831790887607,0.6743761406579867,0.8883342051245766,0.7401599972763524,2.8063908011496896,5615780579065.791,False
AdvDiff-AMICon,q,LHS,0,110,81,0.7310455503731016,0,6.0896094346079614,0,0.07583303186933664,0.009677922187424809,0.45783491944146615,0.6766349972041544,0.8904222711220579,0.7426392001340157,2.8063908011496896,2846110247567.772,False
AdvDiff-AMICon,q,LHS,0,115,81,0.6212198269090982,0,5.174761158152808,0,0.06460852205535805,0.008391962410373967,0.33060063610621776,0.5749788136150912,0.9591284322836379,0.6310666873594798,2.8063908011496896,14700388378010.332,False
AdvDiff-AMICon,q,LHS,0,120,81,0.6217303515234303,0,5.179013828190195,0,0.06493020092292832,0.008667441951733714,0.3311732513098325,0.5754765427972129,0.9558405648644321,0.6316129688897311,2.3065504755640527,1.2514704182409798e+16,False
AdvDiff-AMICon,q,Halton,0,5,81,0.9605162848339783,0,8.001100652667072,0,0.12210040401058973,0.03517960934598368,0.7955952181103921,0.89196144429588,0.22340559876835583,0.9789702517299923,0.2666403838939712,449984.3604563943,False
AdvDiff-AMICon,q,Halton,0,10,81,0.8355523108147265,0,6.9601507490867,0,0.10033352802812225,0.024721201629702837,0.5994732660412763,0.7742565892785649,0.6132276553263643,0.8497835561804934,0.1,19235108876.16499,False
AdvDiff-AMICon,q,Halton,0,15,81,0.7967433738196176,0,6.636872303917441,0,0.09138578710291333,0.019285429941211817,0.5444953426079604,0.7378992767363038,0.7277565298272672,0.8098796706041158,0.21914962948968725,5251161636046.281,False
AdvDiff-AMICon,q,Halton,0,20,81,0.7903048359669398,0,6.583239283604635,0,0.08739959996272664,0.015881890732631656,0.5354602591857277,0.7317515009794839,0.7598597043308898,0.8031321933238791,0.48026560105467186,1471155480634.5469,False
AdvDiff-AMICon,q,Halton,0,25,81,0.7853348453096041,0,6.541839261429028,0,0.08567234103831183,0.014604385283751053,0.5285575407606097,0.7270196288688564,0.7871139705196861,0.7979387378657768,0.5843414133735175,3527094566467.967,False
AdvDiff-AMICon,q,Halton,0,30,81,0.7810303053730464,0,6.505982443757503,0,0.0836109412676459,0.012932519806109405,0.5227519272139718,0.7230158554374667,0.8007252787580286,0.7935444054548154,0.7109709432312434,3850195691033.7993,False
AdvDiff-AMICon,q,Halton,0,35,81,0.7926763873546727,0,6.602994306664451,0,0.08423820496312365,0.012505884971644917,0.5384296324722591,0.7337776451161885,0.7828882946955837,0.8053559832065423,1.2805820423628653,41122487593.913956,False
AdvDiff-AMICon,q,Halton,0,40,81,0.775321110065049,0,6.458424846841885,0,0.08240464597920558,0.01224287145109652,0.5151017227886265,0.7177058748461145,0.8138334157484709,0.7877164483503454,1.0525002852777328,9069799464058.406,False
AdvDiff-AMICon,q,Halton,0,45,81,0.7081785879875654,0,5.899127637936443,0,0.07628305314844432,0.012197262408334708,0.4298137977153502,0.6556018591457397,0.8928484024889676,0.7195543273613225,1.0525002852777328,310298123272624.2,False
AdvDiff-AMICon,q,Halton,0,50,81,0.6862639759542488,0,5.716578919698916,0,0.07501067810575594,0.012908024479278581,0.4037568618166228,0.6354186508252829,0.9041339586601774,0.6974022930367962,1.5580901878706048,2922725493005.797,False
AdvDiff-AMICon,q,Halton,0,55,81,0.6918218088883195,0,5.762875668039724,0,0.07447358965789826,0.011867986458498212,0.41021659063462534,0.6404815302837588,0.9050164369407324,0.7029590448556546,1.0525002852777328,7919089130106093.0,False
AdvDiff-AMICon,q,Halton,0,60,81,0.6839771898269785,0,5.6975299912587545,0,0.07358352029366888,0.01168780669574574,0.400975506680984,0.6332262681545863,0.9104423154714735,0.6949960484297609,1.5580901878706048,6853168216512.252,False
AdvDiff-AMICon,q,Halton,0,65,81,0.6834481682830156,0,5.693123241797543,0,0.07334399131526437,0.011496150901504756,0.40034853481066385,0.6327310129989393,0.9111544630991886,0.6944524822616325,1.5580901878706048,99278562394819.84,False
AdvDiff-AMICon,q,Halton,0,70,81,0.6887760817574389,0,5.737504761039489,0,0.0726680569955728,0.010338073300732682,0.40649043874211893,0.6375660269667126,0.9154761275547613,0.6997591408301377,1.2805820423628653,4.186387573419295e+16,False
AdvDiff-AMICon,q,Halton,0,75,81,0.6879842370206257,0,5.730908694381836,0,0.07263261833888116,0.010374291704792158,0.40556093287780604,0.63683666106609,0.9155819863768426,0.6989586269470524,1.2805820423628653,5.384446607688682e+17,False
AdvDiff-AMICon,q,Halton,0,80,81,0.6983864034252839,0,5.817558740532639,0,0.073064447191772,0.009864788708965174,0.41784977486467445,0.6464130064166983,0.9175830025592782,0.7094691229763274,1.8957356524063753,119991150500023.1,False
AdvDiff-AMICon,q,Halton,0,85,81,0.6988695189171822,0,5.821583092580151,0,0.07321433728773297,0.009970959835103738,0.418433941141899,0.6468647008006381,0.916298506441778,0.709964879118679,1.5580901878706048,2.6744357882698732e+16,False
AdvDiff-AMICon,q,Halton,0,90,81,0.70021845057358,0,5.832819693277945,0,0.07305896680544886,0.009693519364654206,0.4200375985000527,0.6481030770641756,0.9166190485773982,0.7113240561663022,1.8957356524063753,1746265379791220.8,False
AdvDiff-AMICon,q,Halton,0,95,81,0.7029573076793275,0,5.855634372968822,0,0.07313834214111621,0.009525045038776778,0.4233264361550175,0.6506354095459435,0.9145476540322233,0.7141034119142374,2.3065504755640527,21184888428572.35,False
AdvDiff-AMICon,q,Halton,0,100,81,0.6959625487835209,0,5.797368031366753,0,0.0725252644937335,0.009544949893940523,0.4149602137104572,0.6441740554465518,0.9165368265914715,0.707011767438291,2.3065504755640527,146283351499040.84,False
AdvDiff-AMICon,q,Halton,0,105,81,0.703722824171688,0,5.862011125350184,0,0.07398056617190314,0.01029799455241553,0.4243028884990352,0.6513853609799926,0.9061296733808316,0.7149265194026512,1.0525002852777328,8.240508498272781e+18,False
AdvDiff-AMICon,q,Halton,0,110,81,0.70369465004531,0,5.861776434877456,0,0.07398121904454519,0.010301197009580428,0.4242694733894528,0.6513597112114418,0.906049161522918,0.7148983675575961,1.0525002852777328,6.757045486655533e+18,False
AdvDiff-AMICon,q,Halton,0,115,81,0.686880019667828,0,5.72171056383303,0,0.07137476897098258,0.009216367191165276,0.4041880580849539,0.6357578612057848,0.9266515942556179,0.6977745926173589,2.3065504755640527,4.596409862374823e+16,False
AdvDiff-AMICon,q,Halton,0,120,81,0.698378719943882,0,5.817494737132561,0,0.07251834122565316,0.009319378050484264,0.41783120044009214,0.6463986389528463,0.9182354274574807,0.7094533539990988,2.8063908011496896,204952469865227.3,False
AdvDiff-AMICon,q,P-greedy,0,5,81,0.9535404411722531,0,7.942991874964901,0,0.11627764660580472,0.029988122731821432,0.7821014108022403,0.8843649760151293,0.20742130775136083,0.9706327652695367,1.0525002852777328,89.45370518714721,False
AdvDiff-AMICon,q,P-greedy,0,10,81,1.4637217557455116,9,3.880059587297489,0,0.10637589683258686,0.0642244632593196,0.2242847108970317,0.4735870679157442,0.8201499022039601,0.5197844077885403,0.1,5546093711.120613,False
AdvDiff-AMICon,q,P-greedy,0,15,81,0.972399027427586,1,3.7331912154629885,0,0.07874971745972581,0.038193803821168576,0.1870089747568725,0.43244534308612054,0.9064100136676554,0.474629401402746,0.2666403838939712,3428168160.3994117,False
AdvDiff-AMICon,q,P-greedy,0,20,81,0.5626490872346097,0,4.686866896664318,0,0.08013944703933792,0.029223177787119314,0.2759883203783613,0.5253459054550261,0.9134376948615446,0.5765922020481701,0.12167046985882254,8.70295683792285e+16,False
AdvDiff-AMICon,q,P-greedy,0,25,81,0.6147490548164484,0,5.120859626621035,0,0.0820263334040821,0.026395338690445212,0.32701519922802946,0.5718524278413352,0.8991274845857194,0.6276353297738893,0.12167046985882254,4.716952915972797e+18,False
AdvDiff-AMICon,q,P-greedy,0,30,81,0.3184175089072576,0,2.652417849197467,0,0.04159239865969517,0.012777579643766655,0.08774981909205902,0.29622595951749237,0.9915778263077972,0.3251221272088986,0.5843414133735175,286264596687.2386,False
AdvDiff-AMICon,q,P-greedy,0,35,81,0.3135573347890095,0,2.6119325987924595,0,0.039886553997229575,0.011511550737927733,0.0850639366267026,0.2916572245405599,0.992108680515403,0.3201077225403359,0.8650416871891565,25501388868.674465,False
AdvDiff-AMICon,q,P-greedy,0,40,81,0.3150675748023299,0,2.6245128981034185,0,0.038266465823640364,0.009754795165602233,0.08567208994073824,0.29269795001116466,0.9927241248858217,0.32124996841032866,0.7109709432312434,6542667587620.702,False
AdvDiff-AMICon,q,P-greedy,0,45,81,0.3124128708654688,0,2.602399214309366,0,0.03857614621369133,0.01030470987487778,0.0846253897497558,0.2909044340496648,0.9922169210318802,0.3192814990515468,0.7109709432312434,106104802999692.45,False
AdvDiff-AMICon,q,P-greedy,0,50,81,0.3747005212865303,0,3.12125534231681,0,0.043919022967592786,0.010010938757342417,0.1205425205020996,0.34719233934823446,0.9925561693082221,0.381060161315356,0.5843414133735175,1.4709312657631795e+17,False
AdvDiff-AMICon,q,P-greedy,0,55,81,0.41412066535062453,0,3.4496251423707163,0,0.04781657230930928,0.01034120839548099,0.1471603096037512,0.38361479325457615,0.989003784666613,0.42103554264751986,0.5843414133735175,9.868970928798265e+18,False
AdvDiff-AMICon,q,P-greedy,0,60,81,0.42130790129222756,0,3.5094948177642697,0,0.048347666770250375,0.010221902369360972,0.15231090563426802,0.39027029817072684,0.9878695974047795,0.4283402769102184,0.5843414133735175,1.8211041348905367e+18,False
AdvDiff-AMICon,q,P-greedy,0,65,81,0.24002257048319192,0,1.9993880121249967,0,0.02674173498907022,0.005021173981146714,0.049372883050438,0.2222000968731517,0.9986432596025429,0.24387521025872974,1.2805820423628653,6376141171693.316,False
AdvDiff-AMICon,q,P-greedy,0,70,81,0.23505562906450378,0,1.9580133901073244,0,0.025999164715347575,0.00472808124568312,0.04734742681672891,0.21759463875915902,0.9986785633755704,0.23882050019472414,1.2805820423628653,70748826501606.28,False
AdvDiff-AMICon,q,P-greedy,0,75,81,0.44938964971122225,0,3.7434157820944964,0,0.04962471356596037,0.00895772427727797,0.17312119428237482,0.41607835113398395,0.9868508148568149,0.45666584666177357,0.7109709432312434,2.1885582426697724e+19,False
AdvDiff-AMICon,q,P-greedy,0,80,81,0.4494000299195411,0,3.7435022492297927,0,0.049595506945868034,0.008927578312408126,0.17313071698031868,0.41608979437174215,0.9868244004199593,0.4566784061613129,0.7109709432312434,2.1005251711737078e+18,False
AdvDiff-AMICon,q,P-greedy,0,85,81,0.40963474662474986,0,3.41225743938418,0,0.04462500220379281,0.007555586243799852,0.14380060141885684,0.37921049750614344,0.9910591386959597,0.41620161787968396,0.8650416871891565,2.534112457202871e+18,False
AdvDiff-AMICon,q,P-greedy,0,90,81,0.4489044310095718,0,3.739373910309748,0,0.04953978348184533,0.008916703490485138,0.17274691482228083,0.41562833736678834,0.9867780347727166,0.4561719350765018,0.7109709432312434,1.2166285475675236e+19,False
AdvDiff-AMICon,q,P-greedy,0,95,81,0.42044727153626604,0,3.5023257718971106,0,0.04581544636915512,0.007767563648650873,0.1514981292872004,0.38922760601889533,0.9900771729998507,0.4271958725137244,0.8650416871891565,7.601168927512728e+18,False
AdvDiff-AMICon,q,P-greedy,0,100,81,0.23774575068972778,0,1.9804221032454405,0,0.026160709449000962,0.0046461865779427805,0.048439619772547876,0.22009002651766815,0.9986383838192231,0.24155930734578893,1.5580901878706048,2407956503224500.0,False
AdvDiff-AMICon,q,P-greedy,0,105,81,0.23748781406546668,0,1.9782734911653455,0,0.026102708099950085,0.004611526901186147,0.04833457958848381,0.2198512669703857,0.998639365278735,0.2412972573484479,1.5580901878706048,1.340012563389696e+16,False
AdvDiff-AMICon,q,P-greedy,0,110,81,0.237943867661796,0,1.9820724176227689,0,0.026114818502077985,0.004582367267991907,0.04851965960249577,0.22027178576135384,0.9986347156965997,0.24175879678973647,1.5580901878706048,2.4141694995829216e+16,False
AdvDiff-AMICon,q,P-greedy,0,115,81,0.2366386810238335,0,1.971200212928541,0,0.025822589107115514,0.004408249207057397,0.047987374143675626,0.21906020666400283,0.998631017321718,0.24042903091083032,1.5580901878706048,1.687828937185689e+17,False
AdvDiff-AMICon,q,P-greedy,0,120,81,0.2374458535679328,0,1.9779239602208882,0,0.025890048537563055,0.004402664504810527,0.048315400574466566,0.21980764448596088,0.9986220009847907,0.24124937959001838,1.5580901878706048,2.399981837645712e+18,False
