problem,qoi,sampler,seed,n,n_test,max_re,i_max_re,max_ae,i_max_ae,mae,mre,mse,rmse,r2,nrmse,eps_used,cond_kernel,failed
RD-2D,J,P-greedy,0,55,81,0.0328230999250742,45,137.94276252038435,27,36.12210769639223,0.0124314241422828,2293.238887184805,47.88777388002918,0.997162706080462,0.053278863205242,0.1,1.3890811424882504e+19,False
RD-2D,J,P-greedy,0,60,81,0.0372968604335991,45,136.30550737180738,45,35.979354425728154,0.0124374743828283,2282.0179153000704,47.7704711647276,0.9971900982056462,0.0531483548350301,0.1,9.232634286676573e+19,False
RD-2D,J,f-greedy,0,5,81,0.1411458564541637,80,353.2920197449357,18,98.86296937437756,0.0347560909966827,15446.12297071269,124.2824322690568,0.9811556818076914,0.1382738467707156,0.1,1197706.950784018,False
RD-2D,J,f-greedy,0,10,81,0.611333334181254,80,1131.5377228746163,80,155.93085271797403,0.0615539039189933,56799.35394712279,238.326150363578,0.9365307366151824,0.2651563297818778,0.1,1058532215514.4036,False
RD-2D,J,f-greedy,0,15,81,0.3515984417687411,80,650.785550076527,80,121.6962952922349,0.0481597368695142,34366.9375254116,185.3832180252884,0.9580369539799763,0.2062532106516637,0.1801173528334133,111080883912909.2,False
RD-2D,J,f-greedy,0,20,81,0.4014781185443629,80,743.109545384257,80,106.37100380638978,0.0430348715188684,26240.79109830637,161.990095679663,0.968799697963449,0.1802265473843649,0.1,2.388953119355749e+17,False
RD-2D,J,f-greedy,0,25,81,0.2853578435018101,80,528.1785670544098,80,99.05473905097912,0.035376029508799,20162.448901305503,141.99453827984195,0.9771241589052748,0.157979938676126,0.324422607917163,1765136230746521.8,False
RD-2D,J,f-greedy,0,30,81,0.0684741450236894,72,284.6805476950349,27,58.89907679993121,0.0201757263399039,6845.787883440766,82.73927654651547,0.9916176635780182,0.0920538634321625,0.1216704698588225,6.130313746135306e+18,False
RD-2D,J,f-greedy,0,35,81,0.0689334974609522,72,283.0343796884754,27,59.1137013695871,0.0202089879308073,6807.276218998489,82.50621927466128,0.9916534296609688,0.0917945691384412,0.1216704698588225,7.773116899270038e+18,False
RD-2D,J,f-greedy,0,40,81,0.0826896835053173,72,306.5892469020346,27,64.69033170535569,0.0219939398104594,8045.432167249514,89.69633307582599,0.9902300301242286,0.0997941284957438,0.1216704698588225,7.90623588042181e+18,False
RD-2D,J,f-greedy,0,45,81,0.1745378029357133,63,493.6984883282735,63,91.30018427578882,0.0307130092965054,17212.09891725831,131.19488906683182,0.980562529582402,0.1459644911732609,0.324422607917163,5.104781192422303e+18,False
RD-2D,J,f-greedy,0,50,81,0.1379857714489872,63,390.30723218320327,63,91.41998493400588,0.03032218997911,15750.808217198051,125.50222395319555,0.9834628318853816,0.1396309596413396,0.324422607917163,1.5519929564764811e+19,False
