qoi,sampler,n,median,q25,q75
q,MEPE,85,0.3498191158375549,0.3498191158375549,0.3498191158375549
q,MEPE,90,0.35115432634519045,0.35115432634519045,0.35115432634519045
q,MEPE,95,0.3103773339101771,0.3103773339101771,0.3103773339101771
q,MEPE,100,0.3556554667971102,0.3556554667971102,0.3556554667971102
q,MEPE,105,0.35407818297528937,0.35407818297528937,0.35407818297528937
q,MEPE,110,0.36888534034256704,0.36888534034256704,0.36888534034256704
q,MEPE,115,0.37330644901180543,0.37330644901180543,0.37330644901180543
q,MEPE,120,0.37740081542479514,0.37740081542479514,0.37740081542479514
q,P-greedy,5,0.9706327652695367,0.9706327652695367,0.9706327652695367
q,P-greedy,10,0.5197844077885403,0.5197844077885403,0.5197844077885403
q,P-greedy,15,0.474629401402746,0.474629401402746,0.474629401402746
q,P-greedy,20,0.5765922020481701,0.5765922020481701,0.5765922020481701
q,P-greedy,25,0.6276353297738893,0.6276353297738893,0.6276353297738893
q,P-greedy,30,0.3251221272088986,0.3251221272088986,0.3251221272088986
q,P-greedy,35,0.3201077225403359,0.3201077225403359,0.3201077225403359
q,P-greedy,40,0.32124996841032866,0.32124996841032866,0.32124996841032866
q,P-greedy,45,0.3192814990515468,0.3192814990515468,0.3192814990515468
q,P-greedy,50,0.381060161315356,0.381060161315356,0.381060161315356
q,P-greedy,55,0.42103554264751986,0.42103554264751986,0.42103554264751986
q,P-greedy,60,0.4283402769102184,0.4283402769102184,0.4283402769102184
q,P-greedy,65,0.24387521025872974,0.24387521025872974,0.24387521025872974
q,P-greedy,70,0.23882050019472414,0.23882050019472414,0.23882050019472414
q,P-greedy,75,0.45666584666177357,0.45666584666177357,0.45666584666177357
q,P-greedy,80,0.4566784061613129,0.4566784061613129,0.4566784061613129
q,P-greedy,85,0.41620161787968396,0.41620161787968396,0.41620161787968396
q,P-greedy,90,0.4561719350765018,0.4561719350765018,0.4561719350765018
q,P-greedy,95,0.4271958725137244,0.4271958725137244,0.4271958725137244
q,P-greedy,100,0.24155930734578893,0.24155930734578893,0.24155930734578893
q,P-greedy,105,0.2412972573484479,0.2412972573484479,0.2412972573484479
q,P-greedy,110,0.24175879678973647,0.24175879678973647,0.24175879678973647
q,P-greedy,115,0.24042903091083032,0.24042903091083032,0.24042903091083032
q,P-greedy,120,0.24124937959001838,0.24124937959001838,0.24124937959001838
q,Random,5,0.7965457262966534,0.7965457262966534,0.7965457262966534
q,Random,10,0.7560946789795593,0.7560946789795593,0.7560946789795593
q,Random,15,0.7995685836823881,0.7995685836823881,0.7995685836823881
q,Random,20,0.7473876736175512,0.7473876736175512,0.7473876736175512
q,Random,25,0.7564336697236695,0.7564336697236695,0.7564336697236695
q,Random,30,0.6879818550894157,0.6879818550894157,0.6879818550894157
q,Random,35,0.7757158043592393,0.7757158043592393,0.7757158043592393
q,Random,40,0.7008084699054912,0.7008084699054912,0.7008084699054912
q,Random,45,0.6374172579739227,0.6374172579739227,0.6374172579739227
q,Random,50,0.6206380745859408,0.6206380745859408,0.6206380745859408
q,Random,55,0.6306037029773502,0.6306037029773502,0.6306037029773502
q,Random,60,0.6214316368314453,0.6214316368314453,0.6214316368314453
q,Random,65,0.6290853533707899,0.6290853533707899,0.6290853533707899
q,Random,70,0.6298319684608927,0.6298319684608927,0.6298319684608927
q,Random,75,0.6287968257367967,0.6287968257367967,0.6287968257367967
q,Random,80,0.6149220739352294,0.6149220739352294,0.6149220739352294
q,Random,85,0.6156240559481401,0.6156240559481401,0.6156240559481401
q,Random,90,0.5973349297491296,0.5973349297491296,0.5973349297491296
q,Random,95,0.5968298357873839,0.5968298357873839,0.5968298357873839
q,Random,100,0.5973554318644906,0.5973554318644906,0.5973554318644906
q,Random,105,0.5974198879986348,0.5974198879986348,0.5974198879986348
q,Random,110,0.609423167535152,0.609423167535152,0.609423167535152
q,Random,115,0.6374178752759796,0.6374178752759796,0.6374178752759796
q,Random,120,0.637061719141591,0.637061719141591,0.637061719141591
q,f-greedy,5,0.9706327652695367,0.9706327652695367,0.9706327652695367
q,f-greedy,10,0.762772961189445,0.762772961189445,0.762772961189445
q,f-greedy,15,0.7888831663976579,0.7888831663976579,0.7888831663976579
q,f-greedy,20,0.7637864483148807,0.7637864483148807,0.7637864483148807
q,f-greedy,25,0.7831630358966305,0.7831630358966305,0.7831630358966305
q,f-greedy,30,0.6780024003042575,0.6780024003042575,0.6780024003042575
q,f-greedy,35,0.6830276649093543,0.6830276649093543,0.6830276649093543
q,f-greedy,40,0.6204451279371359,0.6204451279371359,0.6204451279371359
q,f-greedy,45,0.6039930335357342,0.6039930335357342,0.6039930335357342
q,f-greedy,50,0.5073220129327931,0.5073220129327931,0.5073220129327931
q,f-greedy,55,0.4286592761082991,0.4286592761082991,0.4286592761082991
q,f-greedy,60,0.3413840221400674,0.3413840221400674,0.3413840221400674
q,f-greedy,65,0.34625391308070697,0.34625391308070697,0.34625391308070697
q,f-greedy,70,0.35585371631553,0.35585371631553,0.35585371631553
