*********************************************************
               r                z               ur               uz               tr               tz              err              ett              ezz              erz              srr              stt              szz              srz 
 1.111792196E+00  9.242921959E-01  8.268372835E+01  4.623708801E-02  5.075497349E-01  1.577431441E+01 -5.804876658E+01  7.436976860E+01 -5.562194737E-01  7.250710499E-01 -6.471525153E+01  1.206706977E+02  1.577431441E+01  5.075497349E-01 

 1.075707804E+00  9.507078041E-01  8.489030572E+01  4.558812943E-02  5.663012600E-01  1.574789884E+01 -6.240464403E+01  7.891576635E+01 -6.484814705E-01  8.090018000E-01 -7.071072875E+01  1.271378458E+02  1.574789884E+01  5.663012600E-01 

 1.075707804E+00  9.867921959E-01  8.496780291E+01  1.225381312E-02  1.625099214E+00  1.464060306E+01 -6.227868618E+01  7.898780932E+01 -1.185296425E+00  2.321570305E+00 -7.089014259E+01  1.268829511E+02  1.464060306E+01  1.625099214E+00 

 1.111792196E+00  9.507078041E-01  8.272052881E+01  3.181121699E-02  1.166148810E+00  1.578613361E+01 -5.813701290E+01  7.440286872E+01 -5.277612246E-01  1.665926871E+00 -6.486681874E+01  1.206890155E+02  1.578613361E+01  1.166148810E+00 

 1.111792196E+00  9.867921959E-01  8.278191502E+01  1.133794124E-02  1.190913723E+00  1.549597004E+01 -5.784135339E+01  7.445808247E+01 -7.965695918E-01  1.701305318E+00 -6.436672728E+01  1.208524829E+02  1.549597004E+01  1.190913723E+00 

 1.013207804E+00  7.570780409E-02  8.893503821E+01 -2.371092533E-01  4.988645447E+00  2.226955441E+01 -6.821553555E+01  8.777571379E+01  7.066805183E-01  7.126636353E+00 -7.422154809E+01  1.441662010E+02  2.226955441E+01  4.988645447E+00 

 1.013207804E+00  1.117921959E-01  8.910639695E+01 -7.881760390E-02  1.311817297E+00  2.043470563E+01 -7.502582667E+01  8.794483876E+01  2.803976708E+00  1.874024709E+00 -8.852701911E+01  1.396319125E+02  2.043470563E+01  1.311817297E+00 

 1.049292196E+00  7.570780409E-02  8.653059245E+01 -8.630853459E-02 -5.289009437E-01  1.617180704E+01 -6.504758924E+01  8.246567808E+01 -8.641576500E-01 -7.555727767E-01 -7.368499718E+01  1.328335771E+02  1.617180704E+01 -5.289009437E-01 

 1.049292196E+00  1.117921959E-01  8.654845898E+01 -1.037223665E-01  2.158172762E+00  1.817949048E+01 -6.675609142E+01  8.248270530E+01  6.802228214E-01  3.083103945E+00 -7.623134946E+01  1.327029660E+02  1.817949048E+01  2.158172762E+00 

 1.075707804E+00  1.320780409E-02  8.496780291E+01 -1.225381310E-02 -1.625099216E+00  1.464060306E+01 -6.227868618E+01  7.898780932E+01 -1.185296424E+00 -2.321570309E+00 -7.089014260E+01  1.268829511E+02  1.464060306E+01 -1.625099216E+00 

 1.075707804E+00  4.929219591E-02  8.489030572E+01 -4.558812942E-02 -5.663012613E-01  1.574789884E+01 -6.240464403E+01  7.891576635E+01 -6.484814705E-01 -8.090018018E-01 -7.071072875E+01  1.271378458E+02  1.574789884E+01 -5.663012613E-01 

 1.111792196E+00  1.320780409E-02  8.278191502E+01 -1.133794122E-02 -1.190913722E+00  1.549597003E+01 -5.784135339E+01  7.445808247E+01 -7.965695917E-01 -1.701305317E+00 -6.436672728E+01  1.208524829E+02  1.549597003E+01 -1.190913722E+00 

 1.111792196E+00  4.929219591E-02  8.272052881E+01 -3.181121698E-02 -1.166148810E+00  1.578613361E+01 -5.813701290E+01  7.440286873E+01 -5.277612245E-01 -1.665926872E+00 -6.486681874E+01  1.206890155E+02  1.578613361E+01 -1.166148810E+00 

 1.075707804E+00  7.570780409E-02  8.485037091E+01 -6.286938944E-02 -3.301662397E-01  1.588333318E+01 -6.210044709E+01  7.887864214E+01 -7.076618846E-01 -4.716660567E-01 -7.006656610E+01  1.273041588E+02  1.588333318E+01 -3.301662397E-01 

 1.075707804E+00  1.117921959E-01  8.484224531E+01 -8.192882638E-02  8.371232607E-01  1.664917964E+01 -6.265125614E+01  7.887108840E+01 -1.557731576E-01  1.195890372E+00 -7.084449654E+01  1.272867858E+02  1.664917964E+01  8.371232607E-01 

 1.111792196E+00  7.570780409E-02  8.268372835E+01 -4.623708798E-02 -5.075497359E-01  1.577431441E+01 -5.804876658E+01  7.436976860E+01 -5.562194738E-01 -7.250710513E-01 -6.471525153E+01  1.206706977E+02  1.577431441E+01 -5.075497359E-01 

 1.111792196E+00  1.117921959E-01  8.266345527E+01 -6.401245627E-02  1.930597804E-01  1.600809606E+01 -5.822645389E+01  7.435153401E+01 -3.768318635E-01  2.757996863E-01 -6.498137477E+01  1.206278083E+02  1.600809606E+01  1.930597804E-01 

 1.013207804E+00  2.632078041E-01  8.925260938E+01  2.830824774E-02 -1.588445334E+00  1.357016950E+01 -7.175005467E+01  8.808914522E+01 -1.463622682E+00 -2.269207620E+00 -8.483083528E+01  1.389440446E+02  1.357016950E+01 -1.588445334E+00 

 1.013207804E+00  2.992921959E-01  8.929620307E+01  5.751659242E-02  2.986412473E-01  1.401960033E+01 -7.339410080E+01  8.813217063E+01 -5.940297942E-01  4.266303532E-01 -8.790049907E+01  1.382362809E+02  1.401960033E+01  2.986412473E-01 

 1.049292196E+00  2.632078041E-01  8.671354050E+01 -1.858464380E-03 -9.960630185E-01  1.635515107E+01 -6.789701567E+01  8.264003185E+01  3.571363604E-01 -1.422947169E+00 -7.920066177E+01  1.315512048E+02  1.635515107E+01 -9.960630185E-01 

