                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.89643,                0.48125,                0.93328,                0.96769,                0.97727,                0.95075,                0.73699,                0.70542,                0.63871,                0.86333,              0.0011059,              0.0011059,              0.0011059
                     71,                0.90627,                0.49385,                0.93233,                  0.961,                0.97727,                0.97054,                0.74582,                0.70613,                 0.6685,                0.86275,              0.0010976,              0.0010976,              0.0010976
                     72,                0.88208,                0.48996,                0.92028,                 0.9571,                0.97727,                0.97196,                0.76175,                0.70109,                0.64501,                0.85304,              0.0010894,              0.0010894,              0.0010894
                     73,                0.90089,                0.48607,                  0.936,                0.95668,                0.97727,                0.97485,                0.78071,                0.67828,                0.66996,                0.84408,              0.0010811,              0.0010811,              0.0010811
                     74,                0.87837,                0.49579,                0.91684,                0.95383,                0.97727,                0.97644,                 0.7586,                0.69516,                0.67224,                0.86481,              0.0010729,              0.0010729,              0.0010729
                     75,                0.91929,                0.51133,                0.94063,                0.95816,                0.97727,                0.97953,                0.78204,                0.68893,                0.63745,                0.86877,              0.0010646,              0.0010646,              0.0010646
                     76,                0.87203,                0.47911,                0.92617,                0.95577,                0.97727,                0.98037,                0.79988,                0.70279,                0.66827,                 0.8712,              0.0010564,              0.0010564,              0.0010564
                     77,                0.87949,                0.48363,                0.94212,                0.95756,                0.97727,                0.97992,                0.75209,                0.72077,                0.62941,                0.86647,              0.0010481,              0.0010481,              0.0010481
                     78,                0.89539,                0.48038,                0.93974,                0.95937,                0.97727,                0.97826,                0.75288,                0.74364,                0.57732,                 0.8695,              0.0010399,              0.0010399,              0.0010399
                     79,                0.87722,                0.47237,                0.94022,                0.95896,                0.97727,                0.97962,                0.75387,                0.75697,                 0.6263,                0.86848,              0.0010316,              0.0010316,              0.0010316
                     80,                0.86417,                0.47138,                0.92916,                0.96039,                0.97727,                0.97794,                  0.763,                0.73294,                 0.6712,                0.85767,              0.0010234,              0.0010234,              0.0010234
                     81,                0.89021,                0.47143,                0.92836,                0.95952,                0.97727,                 0.9785,                0.74842,                0.71812,                 0.6214,                0.86109,              0.0010151,              0.0010151,              0.0010151
                     82,                0.88653,                0.48778,                0.93535,                0.95597,                0.97727,                 0.9711,                0.75784,                0.72019,                0.65837,                0.86172,              0.0010069,              0.0010069,              0.0010069
